domain,hook,method,route,consumerFile,openapiStatus,classification,recommendation,kind
inventory-purchasing,,GET,"/api/admin/purchase-reports/expiring-lots",artifacts/piccolo-tpv/src/pages/lotes-caducidades.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
inventory-purchasing,useGetAdminExpiringLots,GET,"/api/admin/purchase-reports/expiring-lots",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
inventory-purchasing,,GET,"/api/admin/purchase-reports/order-vs-receipt",artifacts/piccolo-tpv/src/pages/conciliacion-documental.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
inventory-purchasing,useCreateRecipeLine,POST,"/api/admin/recipe-lines/${lineId}",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
inventory-purchasing,useUpdateRecipeLine,PATCH,"/api/admin/recipe-lines/${lineId}",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
inventory-purchasing,useDeleteSubrecipeItem,DELETE,"/api/admin/subrecipe-items/${itemId}",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
inventory-purchasing,useUpdateSubrecipeItem,PATCH,"/api/admin/subrecipe-items/${itemId}",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
inventory-purchasing,useGetAdminSubrecipe,GET,"/api/admin/subrecipes/${id}",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
inventory-purchasing,useCreateSubrecipe,POST,"/api/admin/subrecipes/${subrecipeId}/items",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
inventory-purchasing,useGetAdminSubrecipes,GET,"/api/admin/subrecipes",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
inventory-purchasing,,GET,"/api/admin/supplier-catalogue/",artifacts/piccolo-tpv/src/pages/proveedores.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
inventory-purchasing,,GET,"/api/admin/supplier-invoices/",artifacts/piccolo-tpv/src/pages/facturas-proveedor.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
inventory-purchasing,,GET,"/api/admin/supplier-invoices",artifacts/piccolo-tpv/src/pages/facturas-proveedor.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
inventory-purchasing,useCreateGoodsReceipt,POST,"/api/admin/supplier-invoices",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
inventory-purchasing,,GET,"/api/admin/suppliers/",artifacts/piccolo-tpv/src/pages/proveedores.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
inventory-purchasing,useCreateSupplier,POST,"/api/admin/suppliers/${id}",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
